,X,Y,Z
989,167.212,43.548,
990,167.493,43.803,
991,167.713,44.112,
992,167.865,44.459,
993,167.948,44.993,
994,167.953,46.332,
995,167.946,47.511,
996,167.904,47.887,
997,167.784,48.247,
998,167.591,48.573,
999,167.335,48.852,
1000,167.025,49.071,
1001,166.677,49.22,
1002,166.146,49.3,
1003,163.68,49.3,
1004,163.303,49.26,
1005,162.943,49.142,
1006,162.616,48.952,
1007,162.335,48.697,
1008,162.115,48.388,
1009,161.963,48.041,
1010,161.88,47.51,
1011,161.871,45.874,
1012,161.876,44.99,
1013,161.918,44.613,
1014,162.318,44.661,
1015,162.437,44.349,
1016,162.626,44.073,
1017,162.876,43.851,
1018,163.171,43.694,
1019,163.676,43.6,
1020,166.148,43.6,
1021,166.48,43.64,
1022,166.792,43.757,
1023,167.069,43.945,
1024,167.292,44.193,
1025,167.451,44.487,
1026,167.548,44.995,
1027,167.553,46.329,
1028,167.546,47.508,
1029,167.504,47.84,
1030,167.385,48.152,
1031,167.195,48.427,
1032,166.946,48.649,
1033,166.651,48.806,
1034,166.146,48.9,
1035,163.68,48.9,
1036,163.348,48.86,
1037,163.036,48.743,
1038,162.759,48.555,
1039,162.536,48.307,
1040,162.377,48.013,
1041,162.28,47.508,
1042,162.271,45.876,
1043,162.276,44.992,
1044,162.318,44.661,
1045,162.717,44.715,
1046,162.835,44.459,
1047,163.02,44.245,
1048,163.257,44.092,
1049,163.676,44,
1050,166.148,44,
1051,166.427,44.04,
1052,166.684,44.156,
1053,166.899,44.339,
1054,167.053,44.575,
1055,167.148,44.996,
1056,167.153,46.327,
1057,167.146,47.506,
1058,167.105,47.785,
1059,166.987,48.041,
1060,166.802,48.255,
1061,166.565,48.408,
1062,166.146,48.5,
1063,163.68,48.5,
1064,163.401,48.46,
1065,163.144,48.344,
1066,162.929,48.161,
1067,162.775,47.925,
1068,162.68,47.506,
1069,162.671,45.878,
1070,162.676,44.994,
1071,162.717,44.715,
1072,163.117,44.782,
1073,163.232,44.597,
1074,163.405,44.465,
1075,163.676,44.4,
1076,166.148,44.4,
1077,166.363,44.44,
1078,166.549,44.553,
1079,166.682,44.726,
1080,166.748,44.998,
1081,166.753,46.325,
1082,166.746,47.504,
1083,166.705,47.718,
1084,166.59,47.903,
1085,166.417,48.036,
1086,166.146,48.1,
1087,163.68,48.1,
1088,163.465,48.06,
1089,163.279,47.947,
1090,163.146,47.774,
1091,163.08,47.503,
1092,163.071,45.881,
1093,163.076,44.997,
1094,163.117,44.782,
1095,163.476,44.999,
